Method,video,Size,bpp,PSNR,ms-ssim
HNeRV,beauty,2M,0.0121,33.68,0.8952
HNeRV,beauty,5M,0.0297,34.12,0.9025
HNeRV,beauty,10M,0.0575,34.33,0.9067
HNeRV,bosphore,2M,0.0121,34.42,0.9437
HNeRV,bosphore,5M,0.0297,36.60,0.9650
HNeRV,bosphore,10M,0.0575,38.28,0.9766
HNeRV,honeybee,2M,0.0121,39.03,0.9839
HNeRV,honeybee,5M,0.0297,39.49,0.9851
HNeRV,honeybee,10M,0.0575,39.56,0.9852
HNeRV,jockey,2M,0.0121,32.29,0.8915
HNeRV,jockey,5M,0.0297,34.96,0.9322
HNeRV,jockey,10M,0.0575,36.86,0.9596
HNeRV,readysteadygo,2M,0.0121,26.13,0.8661
HNeRV,readysteadygo,5M,0.0297,29.12,0.9223
HNeRV,readysteadygo,10M,0.0575,31.45,0.9516
HNeRV,shakendry,2M,0.0243,34.64,0.9457
HNeRV,shakendry,5M,0.0593,35.21,0.9542
HNeRV,shakendry,10M,0.1151,36.67,0.9702
HNeRV,yachtride,2M,0.0121,29.18,0.8898
HNeRV,yachtride,5M,0.0297,31.25,0.9248
HNeRV,yachtride,10M,0.0575,33.05,0.9479
